ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"80.79.6.171","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","12465","socks4","1","100","3781","3783","2025-11-24T03:53:51.185Z","4488"
"113.160.247.180","elite","AS45899","VN","VietNam Post and Telecom Corporation","215","Vietnam Posts and Telecommunications Group","4145","socks4","1","99","4212","4250","2025-11-24T03:53:51.385Z","4207"
"194.233.69.126","elite","AS141995","SG","Contabo Asia Private Limited","158","Contabo Asia Private Limited","443","socks4","1","98","10796","11029","2025-11-24T03:53:51.594Z","1515"
"152.136.151.195","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","257","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","1","72","7956","10980","2025-11-24T03:53:51.186Z","4199"
"98.206.244.30","elite","AS7922","US","Comcast Cable Communications, LLC","117","Comcast Cable Communications, Inc.","18301","socks4","1","90","9812","10958","2025-11-24T03:53:51.190Z","3697"
"202.153.91.165","elite","AS24077","HK","Telekom Malaysia (Hong Kong) Ltd.","212","Telekom Malaysia (Hong Kong) Ltd","1080","socks4","1","99","10899","11002","2025-11-24T03:53:51.668Z","1871"
"110.34.166.186","elite","AS35908","SG","Krypt Technologies","153","Vpls","4153","socks4","1","99","10877","11002","2025-11-24T03:53:51.187Z","2710"
"95.217.196.228","elite","AS24940","FI","Hetzner Online GmbH","28","HETZNER-DC","41225","socks4","1","94","3883","4124","2025-11-24T03:53:51.593Z","3409"
"89.43.5.134","elite","AS50810","IR","Mobin Net Communication Company (Private Joint Stock)","107","Mobin Net Communication Company","3629","socks4","1","96","10633","11065","2025-11-24T03:53:51.379Z","4997"
"104.207.36.98","elite","AS200373","US","3xK Tech GmbH","90","3xK Tech GmbH","3128","socks4","1","78","3009","3857","2025-11-24T03:53:51.191Z","5095"
"94.75.76.1","elite","AS9141","PL","P4 Sp. z o.o.","21","P4 Sp. z o.o","8080","socks4","73","100","3846","3847","2025-11-24T03:53:51.188Z","3802"
"60.153.164.246","elite","AS17676","JP","SoftBank Corp.","273","Japan Nation-wide Network of Softbank Corp.","8080","socks4","1","100","2537","2547","2025-11-24T03:53:51.592Z","2991"
"109.123.108.127","elite","AS13213","GB","UK-2 Limited","16","N/A","3128","socks4","1","100","3311","3313","2025-11-24T03:53:51.664Z","4397"
"36.95.56.58","elite","AS7713","ID","PT. Telekomunikasi Indonesia","170","Telekomunikasi Indonesia","5678","socks4","1","61","6754","11023","2025-11-24T03:53:51.672Z","2612"
"111.72.185.78","elite","AS4134","CN","Chinanet","237","Chinanet JX","44844","socks4","1","41","4442","10825","2025-11-24T03:53:19.276Z","3738"
"108.162.198.210","elite","AS13335","US","Cloudflare, Inc.","14","Cloudflare, Inc.","80","http","32671","100","41","41","2025-11-24T03:53:19.194Z","88"
"116.202.235.157","elite","AS24940","DE","Hetzner Online GmbH","21","Hetzner Online GmbH","63135","socks5","1","100","4278","4278","2025-11-24T03:53:19.467Z","4191"
"47.242.146.5","elite","AS45102","HK","Alibaba.com LLC","304","Hong Kong","22722","socks4","1","66","7280","10997","2025-11-24T03:52:48.486Z","4917"
